Motor Down,Motor Up,Pitch,Roll
-35.56138797599,25.2183156046646,17.0094372681997,-4.380015354975072
-35.56138797599,26.580337020177755,17.3604801895578,-3.7766610875702966
-35.56138797599,27.94235843569093,17.70615540925753,-3.1863728187291196
-35.56138797599,29.30437985120411,18.04632660348996,-2.6094400879312802
-35.56138797599,30.66640126671729,18.380450459801438,-2.046148849958234
-35.56138797599,32.02842268223047,18.708252193002377,-1.496648928515593
-35.56138797599,33.39044409774362,19.02933196867699,-0.9611213086381553
-35.56138797599,34.7524655132568,19.34347126719063,-0.43992725570179875
-35.56138797599,36.11448692876998,19.65027919644225,0.06673385944196195
-35.56138797599,37.47650834428313,19.94942471949186,0.5585956969870062
-35.56138797599,38.83852975979631,20.24063014508689,1.0355618843785361
-35.56138797599,40.200551175309485,20.52348026359462,1.497011025215779
-34.19356711464083,41.56257259082266,20.475720889138852,2.479428895144242
-34.19356711464083,40.200551175309485,20.20219156803942,2.033428815754497
-34.19356711464083,38.83852975979631,19.91996408245728,1.5715798684230273
-34.19356711464083,37.47650834428313,19.629462617165036,1.0945474061593494
-34.19356711464083,36.11448692876998,19.330950770817388,0.6024192067901671
-34.19356711464083,34.7524655132568,19.02475432570181,0.09547258984089771
-34.19356711464083,33.39044409774362,18.711202641573063,-0.42602312974851525
-34.19356711464083,32.02842268223047,18.390685126051448,-0.9618650677294198
-34.19356711464083,30.66640126671729,18.063418541948153,-1.511689626904908
-34.19356711464083,29.30437985120411,17.729801382203878,-2.075311979342444
-34.19356711464083,27.94235843569093,17.39010681460756,-2.6525812159709727
-34.19356711464083,26.580337020177755,17.04487796343429,-3.243203575122136
-34.19356711464083,25.2183156046646,16.694248301618664,-3.8468872477576976
-34.19356711464083,23.856294189151424,16.338629212159244,-4.463529866633305
-34.19356711464083,22.494272773638244,15.978363338363081,-5.09295354490076
-34.19356711464083,21.132251358125078,15.613807784332543,-5.735178209604943
-34.19356711464083,19.770229942611913,15.245279961255132,-6.389670468621788
-34.19356711464083,18.408208527098736,14.873135635540976,-7.0564921675712196
-34.19356711464083,17.046187111585557,14.497719231906515,-7.7355202742456415
-34.19356711464083,15.684165696072391,14.11937556764205,-8.426645792719487
-34.19356711464083,14.322144280559225,13.738466225049377,-9.129968602077128
-34.19356711464083,12.960122865046047,13.355303967420017,-9.84499851198423
-34.19356711464083,11.59810144953287,12.970251250408772,-10.571883610608767
-34.19356711464083,10.236080034019704,12.583655311422854,-11.310571296071952
-34.19356711464083,8.874058618506538,12.195863760859009,-12.061215585926666
-34.19356711464083,7.51203720299336,11.807223496832448,-12.823373945341565
-34.19356711464083,6.150015787480182,11.41800587441231,-13.597379209839602
-32.825746253291655,4.787994371967017,10.70750745889599,-13.837560137493616
-32.825746253291655,6.150015787480182,11.097131269906948,-13.052113840198347
-32.825746253291655,7.51203720299336,11.486489377906546,-12.278431420778558
-32.825746253291655,8.874058618506538,11.875296748815195,-11.516197786837228
-32.825746253291655,10.236080034019704,12.263213337191283,-10.765820549745913
-32.825746253291655,11.59810144953287,12.649888342896098,-10.02714996730037
-32.825746253291655,12.960122865046047,13.034974618969743,-9.30022957686928
-32.825746253291655,14.322144280559225,13.418125945136538,-8.585116913329246
-32.825746253291655,15.684165696072391,13.79897790311093,-7.881658490559408
-32.825746253291655,17.046187111585557,14.177224777683485,-7.190369654775198
-32.825746253291655,18.408208527098736,14.5525028995445,-6.511144667082543
-32.825746253291655,19.770229942611913,14.924468467807458,-5.844096922586311
-32.825746253291655,21.132251358125078,15.292778092021996,-5.189353746176546
-32.825746253291655,22.494272773638244,15.657075877831574,-4.546852147977729
-32.825746253291655,23.856294189151424,16.017047921506215,-3.917140309184026
-32.825746253291655,25.2183156046646,16.37233700139998,-3.300196930505089
-32.825746253291655,26.580337020177755,16.72260163999314,-2.6962038115633415
-32.825746253291655,27.94235843569093,17.067431068569448,-2.1052667347781773
-32.825746253291655,29.30437985120411,17.40669453683862,-1.5276795543429924
-32.825746253291655,30.66640126671729,17.73984913272402,-0.9637441943716669
-32.825746253291655,32.02842268223047,18.06662330851476,-0.41361263168236884
-32.825746253291655,33.39044409774362,18.3866199311886,0.1225263310319397
-32.825746253291655,34.7524655132568,18.699623904218235,0.6443068129903811
-32.825746253291655,36.11448692876998,19.005247322290458,1.1515222878168117
-32.825746253291655,37.47650834428313,19.30316247843082,1.6439003958172538
-32.825746253291655,38.83852975979631,19.593045315623115,2.1211609145377355
-32.825746253291655,40.200551175309485,19.874634374058328,2.5832153608955717
-32.825746253291655,41.56257259082266,20.14750669207807,3.029391871948671
-31.457925391942492,42.924594006335845,20.076621932078485,4.022823542658568
-31.457925391942492,41.56257259082266,19.81336646231006,3.5925069144849937
-31.457925391942492,40.200551175309485,19.541117451025077,3.14616773290707
-31.457925391942492,38.83852975979631,19.260131465994156,2.683921380673189
-31.457925391942492,37.47650834428313,18.970830443615416,2.2064464646389217
-31.457925391942492,36.11448692876998,18.67347365704477,1.7138321599000348
-31.457925391942492,34.7524655132568,18.368383467689128,1.2063616595940228
-31.457925391942492,33.39044409774362,18.055885958158267,0.6843104389500845
-31.457925391942492,32.02842268223047,17.736367522958712,0.14788879192729923
-31.457925391942492,30.66640126671729,17.410041686902638,-0.40253515744689866
-31.457925391942492,29.30437985120411,17.077304206862237,-0.966768502575091
-31.457925391942492,27.94235843569093,16.738424989309184,-1.544658218713527
-31.457925391942492,26.580337020177755,16.393946753879483,-2.1358938678523964
-31.457925391942492,25.2183156046646,16.043997645025687,-2.7401797760807325
-31.457925391942492,23.856294189151424,15.688987752066033,-3.3574065773628536
-31.457925391942492,22.494272773638244,15.329257393575135,-3.98738849238787
-31.457925391942492,21.132251358125078,14.965154579887345,-4.630057528274551
-31.457925391942492,19.770229942611913,14.597017585823512,-5.285122417235
-31.457925391942492,18.408208527098736,14.225174673615903,-5.952375485004213
-31.457925391942492,17.046187111585557,13.84997740488242,-6.631775625558563
-31.457925391942492,15.684165696072391,13.471768556296743,-7.323204981635817
-31.457925391942492,14.322144280559225,13.090913757091739,-8.026775127771582
-31.457925391942492,12.960122865046047,12.707711906349763,-8.741945430617104
-31.457925391942492,11.59810144953287,12.322529244008805,-9.468874748494994
-31.457925391942492,10.236080034019704,11.93571095810602,-10.20750055632005
-31.457925391942492,8.874058618506538,11.547603135223628,-10.957774145133897
-31.457925391942492,7.51203720299336,11.158562189646272,-11.719860457224568
